transaction_id,order_id,customer_id,customer_email,transaction_timestamp,product_id,category,quantity,unit_price,payment_method,status
TXN-10026,ORD-50026,CUST-952,user_760@gmail.com,2026-07-27 12:09:40,PROD-5610,Sports,-1.0,139.19,PayPal,Completed
TXN-10027,ORD-50027,CUST-985,user_407@gmail.com,2026-07-27 14:02:11,PROD-1304,Home & Kitchen,6.0,233.78,PayPal,Pending
TXN-10028,ORD-50028,CUST-552,user_756@outlook.com,2026-07-28 10:20:42,PROD-9430,Apparel,4.0,380.96,PayPal,Failed
TXN-10029,ORD-50029,CUST-795,user_814@gmail.com,2026-07-28 01:59:42,PROD-5942,Books,8.0,390.58,Debit Card,Completed
TXN-10030,ORD-50030,CUST-103,user_402@company.org,2026-08-01 01:09:27,PROD-9305,Home & Kitchen,9.0,121.38,PayPal,Pending
TXN-10031,ORD-50031,CUST-398,user_657@outlook.com,2026-07-26 12:14:18,PROD-8215,Electronics,,31.61,Credit Card,Completed
TXN-10032,ORD-50032,CUST-177,user_691@company.org,2026-07-31 10:10:16,PROD-1121,Home & Kitchen,8.0,14.27,PayPal,Pending
TXN-10033,ORD-50033,CUST-613,user_815@company.org,2026-07-30 05:42:38,PROD-7932,Electronics,6.0,78.44,Credit Card,Pending
TXN-10034,ORD-50034,CUST-273,user_399@outlook.com,2026-07-26 04:29:00,PROD-5124,Home & Kitchen,7.0,281.16,UPI,Completed
TXN-10035,ORD-50035,CUST-199,user_816@company.org,2026-07-27 20:46:11,PROD-6055,Home & Kitchen,9.0,285.16,PayPal,Failed
TXN-10036,ORD-50036,CUST-168,user_597@company.org,2026-08-01 05:10:12,PROD-2386,Beauty,4.0,85.05,Debit Card,Pending
TXN-10037,ORD-50037,CUST-753,user_322@yahoo.com,2026-07-27 12:35:29,PROD-2107,Beauty,6.0,0.0,Debit Card,Failed
TXN-10038,ORD-50038,CUST-238,user_870@company.org,2026-07-29 00:50:54,PROD-8418,Home & Kitchen,10.0,398.78,Debit Card,Pending
TXN-10039,ORD-50039,CUST-248,user_961@yahoo.com,2026-07-27 20:32:37,PROD-2814,Electronics,8.0,243.13,UPI,Completed
TXN-10040,ORD-50040,CUST-141,user_219@gmail.com,2026-07-30 07:00:00,PROD-5781,Apparel,10.0,337.8,PayPal,Failed
TXN-10041,ORD-50041,CUST-251,user_235@outlook.com,2026-07-26 03:47:22,PROD-8021,Sports,8.0,262.2,Debit Card,Completed
TXN-10042,ORD-50042,CUST-454,user_405@yahoo.com,2026-07-29 13:53:25,PROD-8671,Home & Kitchen,9.0,342.13,Credit Card,Failed
TXN-10043,ORD-50043,CUST-453,user_112@yahoo.com,2026-07-26 13:11:48,PROD-1763,Beauty,10.0,19.04,UPI,Failed
TXN-10044,ORD-50044,CUST-659,user_561@outlook.com,2026-07-26 03:32:04,PROD-3971,Beauty,-1.0,93.93,Debit Card,Failed
TXN-10045,ORD-50045,CUST-240,user_608@company.org,2026-07-31 14:30:44,PROD-5186,Apparel,5.0,245.93,Debit Card,Pending
TXN-10046,ORD-50046,CUST-884,user_435@yahoo.com,2026-07-30 22:13:23,PROD-9131,Home & Kitchen,9.0,18.88,UPI,Completed
TXN-10047,ORD-50047,CUST-170,user_250@yahoo.com,2026-07-29 09:04:03,PROD-3833,Electronics,1.0,7.97,Debit Card,Completed
TXN-10048,ORD-50048,CUST-365,user_274@gmail.com,2026-08-01 08:09:19,PROD-1490,Apparel,7.0,486.28,Debit Card,Pending
TXN-10049,ORD-50049,CUST-615,user_501@company.org,2026-07-31 04:51:28,PROD-5117,Home & Kitchen,3.0,285.01,PayPal,Pending
TXN-10050,ORD-50050,CUST-786,user_258@company.org,2026-07-27 11:18:23,PROD-7631,Apparel,4.0,51.59,PayPal,Pending
TXN-10051,ORD-50051,CUST-738,user_543@yahoo.com,2026-07-31 19:58:13,PROD-8213,Apparel,1.0,450.13,Credit Card,Failed
TXN-10052,ORD-50052,CUST-711,user_516@company.org,2026-07-31 10:34:48,PROD-2055,Apparel,5.0,,PayPal,Failed
TXN-10053,ORD-50053,CUST-159,user_938@outlook.com,2026-07-31 18:04:46,PROD-8057,Apparel,5.0,31.09,Credit Card,Completed
TXN-10054,ORD-50054,CUST-139,user_387@yahoo.com,2026-08-01 08:43:39,PROD-5605,Home & Kitchen,3.0,221.69,UPI,Failed
TXN-10055,ORD-50055,CUST-273,user_260@company.org,2026-07-27 13:32:24,PROD-4400,Beauty,9.0,301.82,Debit Card,Pending
TXN-10056,ORD-50056,CUST-312,user_463@company.org,2026-07-27 12:29:48,PROD-3228,Electronics,9.0,-45.33,PayPal,Pending
TXN-10057,ORD-50057,CUST-779,user_698@company.org,2026-07-29 20:27:21,PROD-8466,Beauty,6.0,354.31,UPI,Completed
TXN-10058,ORD-50058,CUST-426,user_643@outlook.com,2026-07-29 11:16:14,PROD-8469,Beauty,7.0,467.96,Credit Card,Completed
TXN-10059,ORD-50059,CUST-984,user_629@company.org,2026-07-31 08:09:58,PROD-3433,Home & Kitchen,2.0,384.8,UPI,Failed
TXN-10060,ORD-50060,CUST-309,user_824@yahoo.com,2026-07-26 21:06:56,PROD-3697,Sports,2.0,313.54,PayPal,Completed
TXN-10061,ORD-50028,CUST-845,user_981@outlook.com,2026-07-27 00:16:53,PROD-6977,Sports,6.0,172.13,Credit Card,Failed
TXN-10062,ORD-50062,CUST-971,user_344@company.org,2026-07-25 17:01:34,PROD-9012,Beauty,9.0,413.77,UPI,Completed
TXN-10063,ORD-50063,CUST-143,user_271@yahoo.com,2026-07-29 08:17:16,PROD-9169,Home & Kitchen,4.0,98.05,UPI,Completed
TXN-10064,ORD-50064,CUST-462,user_535@gmail.com,2026-07-30 11:37:56,PROD-6849,Books,5.0,145.57,Debit Card,Completed
TXN-10065,ORD-50065,CUST-257,user_704@gmail.com,2026-07-28 22:37:07,PROD-5228,Books,10.0,353.92,Debit Card,Completed
TXN-10066,ORD-50066,CUST-109,user_535@outlook.com,2026-07-29 21:28:06,PROD-2940,Apparel,5.0,173.95,Credit Card,Pending
TXN-10067,ORD-50067,,user_890@outlook.com,2026-07-28 23:24:32,PROD-3707,Apparel,4.0,23.34,Debit Card,Pending
TXN-10068,ORD-50068,CUST-562,user_601@yahoo.com,2026-07-30 13:58:33,PROD-4741,Books,0.0,437.42,Credit Card,Pending
TXN-10069,ORD-50069,CUST-757,user_449@company.org,2026-08-01 06:45:07,PROD-4428,Home & Kitchen,6.0,19.78,Debit Card,Completed
TXN-10070,ORD-50070,CUST-512,user_798@company.org,2026-07-29 15:19:40,PROD-2101,Books,3.0,53.27,Credit Card,Completed
TXN-10071,ORD-50071,CUST-858,user_923@company.org,2026-07-27 11:06:58,PROD-1453,Beauty,6.0,407.04,UPI,Completed
TXN-10072,ORD-50072,CUST-748,user_752@outlook.com,2026-07-29 22:02:15,PROD-6463,Books,0.0,246.45,PayPal,Pending
TXN-10073,ORD-50073,CUST-133,user_178@company.org,2026-07-27 00:23:04,PROD-8339,Sports,6.0,468.01,UPI,Pending
TXN-10074,ORD-50074,CUST-523,user_100@outlook.com,2026-07-29 04:16:31,PROD-9597,Beauty,10.0,144.41,Credit Card,Failed
TXN-10075,ORD-50075,CUST-397,user_120@company.org,2026-07-26 21:59:04,PROD-5134,Beauty,2.0,172.3,Credit Card,Failed
TXN-10076,ORD-50076,,user_588@gmail.com,2026-07-26 11:43:34,PROD-8783,Books,6.0,8.03,Credit Card,Completed
TXN-10077,ORD-50077,CUST-695,user_208@company.org,2026-07-30 14:59:08,PROD-3251,Sports,,334.83,UPI,Completed
TXN-10078,ORD-50078,CUST-585,user_792@yahoo.com,2026-07-29 01:33:32,PROD-1699,Sports,6.0,456.97,UPI,Failed
TXN-10079,ORD-50079,CUST-167,user_896@company.org,2026-07-30 13:43:23,PROD-9411,Sports,9.0,14.42,Debit Card,Failed
TXN-10080,ORD-50080,CUST-115,user_884@yahoo.com,2026-07-25 23:28:12,PROD-9138,Sports,-2.0,334.29,PayPal,Completed
TXN-10081,ORD-50081,CUST-746,user_491@outlook.com,2026-07-31 18:35:09,PROD-7109,Home & Kitchen,10.0,57.21,Debit Card,Pending
TXN-10082,ORD-50082,CUST-588,user_794@yahoo.com,2026-07-31 16:44:02,PROD-7662,Beauty,1.0,164.22,Credit Card,Completed
TXN-10083,ORD-50083,CUST-606,user_251@outlook.com,2026-07-30 07:47:11,PROD-5788,Books,9.0,153.82,PayPal,Completed
TXN-10084,ORD-50084,CUST-702,user_180@company.org,2026-07-29 11:26:23,PROD-9247,Sports,6.0,291.66,Credit Card,Pending
TXN-10085,ORD-50085,CUST-194,user_871@company.org,2026-07-28 02:03:45,PROD-8794,Electronics,4.0,346.59,UPI,Pending
TXN-10086,ORD-50054,CUST-460,user_910@outlook.com,2026-07-29 19:34:47,PROD-5534,Books,8.0,92.38,Debit Card,Pending
TXN-10087,ORD-50087,CUST-736,user_216@gmail.com,2026-07-27 05:39:58,PROD-8504,Electronics,1.0,184.01,Credit Card,Pending
TXN-10088,ORD-50088,CUST-924,user_633@outlook.com,2026-07-27 09:42:13,PROD-3930,Apparel,-2.0,37.83,UPI,Completed
TXN-10089,ORD-50089,CUST-267,user_723@company.org,2026-07-26 19:57:13,PROD-7577,Beauty,6.0,,UPI,Completed
TXN-10090,ORD-50090,CUST-367,user_193@outlook.com,2026-07-26 13:06:51,PROD-9375,Sports,7.0,252.0,UPI,Failed
TXN-10091,ORD-50091,CUST-181,user_341@company.org,2026-07-29 09:15:56,PROD-8999,Apparel,7.0,361.49,Credit Card,Pending
TXN-10092,ORD-50092,CUST-718,user_732@yahoo.com,2026-07-28 12:02:58,PROD-3543,Apparel,2.0,131.88,UPI,Completed
TXN-10093,ORD-50093,CUST-857,user_442@company.org,2026-07-26 16:13:08,PROD-9731,Electronics,5.0,378.88,UPI,Failed
TXN-10094,ORD-50094,CUST-927,user_301@yahoo.com,2026-07-25 12:39:00,PROD-7893,Sports,6.0,427.04,PayPal,Pending
TXN-10095,ORD-50095,CUST-634,user_901@gmail,2026-08-01 06:00:31,PROD-6706,Sports,3.0,94.18,PayPal,Completed
TXN-10096,ORD-50096,CUST-948,user_742@gmail.com,2026-07-27 02:56:37,PROD-9708,Electronics,-4.0,460.8,PayPal,Failed
TXN-10097,ORD-50097,CUST-608,user_671@gmail.com,2026-07-26 21:13:02,PROD-4164,Home & Kitchen,1.0,121.14,Debit Card,Pending
TXN-10098,ORD-50098,CUST-301,user_107@yahoo.com,2026-07-25 10:15:37,PROD-4077,Electronics,2.0,438.31,Debit Card,Completed
TXN-10099,ORD-50099,CUST-533,user_568@outlook.com,2026-07-30 15:34:48,PROD-5520,Sports,9.0,77.72,PayPal,Pending
TXN-10100,ORD-50100,CUST-605,user_941@yahoo.com,2026-07-31 01:01:17,PROD-7588,Home & Kitchen,3.0,226.32,Credit Card,Completed
TXN-10101,ORD-50101,CUST-354,user_637@company.org,2026-07-30 07:47:49,PROD-9143,Apparel,1.0,13.27,PayPal,Failed
TXN-10102,ORD-50038,CUST-302,user_715@yahoo.com,2026-07-28 02:37:18,PROD-3705,Sports,6.0,275.73,Credit Card,Completed
TXN-10103,ORD-50103,CUST-358,user_781@company.org,2026-07-26 14:41:19,PROD-1665,Apparel,8.0,48.46,Credit Card,Failed
TXN-10104,ORD-50104,CUST-672,user_486gmail.com,2026-07-26 17:12:40,PROD-6779,Books,4.0,67.28,Debit Card,Failed
TXN-10105,ORD-50105,CUST-920,user_950@gmail.com,2026-07-27 08:14:36,PROD-6602,Sports,1.0,33.39,PayPal,Failed
TXN-10106,ORD-50106,CUST-195,user_961@yahoo.com,2026-07-31 16:28:56,PROD-2038,Sports,9.0,174.25,Debit Card,Completed
TXN-10107,ORD-50107,CUST-200,user_303@company.org,2026-07-29 05:34:47,PROD-9867,Home & Kitchen,2.0,353.45,Credit Card,Completed
TXN-10108,ORD-50108,CUST-590,user_642@gmail.com,2026-07-29 18:29:28,PROD-4258,Sports,5.0,0.0,Debit Card,Pending
TXN-10109,ORD-50109,CUST-871,user_610@gmail.com,2026-07-25 21:32:29,PROD-6271,Electronics,1.0,462.33,PayPal,Pending
TXN-10110,ORD-50110,CUST-207,user_376@gmail.com,2026-07-25 14:13:49,PROD-9725,Electronics,1.0,165.06,PayPal,Pending
TXN-10111,ORD-50111,CUST-825,user_877@yahoo.com,2026-07-30 11:11:46,PROD-3542,Electronics,6.0,0.0,Credit Card,Failed
TXN-10112,ORD-50112,CUST-486,user_361@outlook.com,2026-07-27 11:36:15,PROD-5620,Books,9.0,469.62,Debit Card,Completed
TXN-10113,ORD-50113,CUST-327,user_241@company.org,2026-07-26 04:00:09,PROD-1589,Apparel,5.0,499.95,PayPal,Completed
TXN-10114,ORD-50114,CUST-554,user_668@gmail.com,2026-07-30 09:32:27,PROD-2765,Home & Kitchen,10.0,238.71,PayPal,Completed
TXN-10115,ORD-50115,CUST-157,user_986@company.org,2026-07-27 12:42:50,PROD-2232,Books,2.0,497.43,Debit Card,Pending
TXN-10116,ORD-50116,CUST-351,user_809@company.org,2026-07-26 00:52:19,PROD-8204,Apparel,5.0,45.14,PayPal,Pending
TXN-10117,ORD-50117,CUST-425,user_795gmail.com,2026-07-26 23:39:19,PROD-9986,Electronics,7.0,388.64,Debit Card,Pending
TXN-10118,ORD-50118,CUST-813,user_371@outlook.com,2026-07-26 21:14:52,PROD-5128,Electronics,3.0,22.79,Debit Card,Pending
TXN-10119,ORD-50119,CUST-537,user_521@yahoo.com,2026-07-30 13:55:55,PROD-3895,Electronics,-5.0,315.28,Credit Card,Pending
TXN-10120,ORD-50120,CUST-127,user_888@outlook.com,2026-07-26 01:10:51,PROD-7099,Home & Kitchen,10.0,373.38,Debit Card,Pending
TXN-10121,ORD-50121,CUST-128,user_138@outlook.com,2026-07-31 00:33:17,PROD-1123,Electronics,3.0,313.85,Debit Card,Completed
TXN-10122,ORD-50122,CUST-879,user_101@gmail.com,2026-07-30 05:59:33,PROD-4823,Electronics,8.0,434.75,PayPal,Completed
TXN-10123,ORD-50123,CUST-582,user_337@outlook.com,2026-07-30 21:25:07,PROD-6970,Apparel,7.0,312.21,UPI,Completed
TXN-10124,ORD-50124,CUST-273,user_452gmail.com,2026-07-28 21:28:21,PROD-8540,Books,6.0,286.63,PayPal,Pending
TXN-10125,ORD-50125,CUST-993,user_874@gmail.com,2026-07-25 21:55:50,PROD-1665,Books,10.0,437.18,Debit Card,Pending
TXN-10126,ORD-50126,CUST-985,user_788@gmail.com,2026-07-26 19:24:14,PROD-9224,Home & Kitchen,1.0,0.0,UPI,Completed
TXN-10127,ORD-50127,CUST-330,user_129@outlook.com,2026-07-25 23:45:00,PROD-6280,Books,8.0,236.53,Debit Card,Failed
TXN-10128,ORD-50128,CUST-505,user_736@gmail.com,2026-07-26 08:17:56,PROD-4458,Home & Kitchen,2.0,202.02,PayPal,Completed
TXN-10129,ORD-50129,CUST-909,user_756@gmail.com,2027-05-01 16:25:04,PROD-2232,Books,7.0,180.33,UPI,Pending
TXN-10130,ORD-50130,CUST-837,user_287@outlook.com,2026-07-28 12:55:18,PROD-7175,Sports,8.0,341.79,UPI,Completed
TXN-10131,ORD-50131,CUST-456,user_146@gmail.com,2026-07-29 04:52:40,PROD-4173,Home & Kitchen,9.0,351.75,PayPal,Completed
TXN-10132,ORD-50132,CUST-560,user_807@gmail.com,2026-07-31 10:34:12,PROD-7216,Books,5.0,7.13,Debit Card,Completed
TXN-10133,ORD-50133,CUST-615,user_115@outlook.com,2026-07-31 11:38:31,PROD-9144,Apparel,2.0,237.11,Debit Card,Pending
TXN-10134,ORD-50134,CUST-410,user_569@outlook.com,2026-07-28 06:15:20,PROD-1352,Home & Kitchen,4.0,194.79,UPI,Failed
TXN-10135,ORD-50135,CUST-702,user_868@gmail.com,2026-07-26 06:34:16,PROD-8154,Apparel,5.0,25.3,Credit Card,Completed
TXN-10136,ORD-50136,CUST-184,user_639@outlook.com,2026-07-26 12:02:03,PROD-5773,Home & Kitchen,7.0,215.41,UPI,Pending
TXN-10137,ORD-50137,CUST-567,user_701@company.org,2026-07-29 18:24:30,PROD-5301,Sports,10.0,380.04,Debit Card,Pending
TXN-10138,ORD-50138,CUST-119,user_117@gmail.com,2026-07-30 05:16:53,PROD-9391,Home & Kitchen,0.0,123.73,UPI,Pending
TXN-10139,ORD-50139,CUST-816,user_768@company.org,2026-07-26 12:11:44,PROD-5500,Sports,2.0,112.43,UPI,Pending
TXN-10140,ORD-50140,CUST-477,user_906@yahoo.com,2026-07-30 21:00:56,PROD-5158,Books,8.0,366.55,Credit Card,Failed
TXN-10141,ORD-50141,CUST-191,user_848@yahoo.com,2026-07-25 22:45:38,PROD-5941,Beauty,9.0,136.42,Credit Card,Failed
TXN-10142,ORD-50142,CUST-681,user_546@gmail.com,2026-07-31 12:18:02,PROD-2798,Electronics,10.0,273.13,Debit Card,Failed
TXN-10143,ORD-50143,CUST-562,user_246@outlook.com,2026-07-27 09:18:17,PROD-4186,Home & Kitchen,,366.79,UPI,Failed
TXN-10144,ORD-50144,CUST-751,user_855@gmail.com,2026-07-31 20:23:19,PROD-1918,Books,10.0,400.68,Credit Card,Completed
TXN-10145,ORD-50145,CUST-112,user_682@gmail.com,2026-07-25 20:17:32,PROD-1095,Beauty,9.0,418.43,UPI,Completed
TXN-10146,ORD-50146,CUST-828,user_818@yahoo.com,2026-07-26 17:39:41,PROD-1446,Sports,3.0,31.87,UPI,Failed
TXN-10147,ORD-50137,CUST-627,user_897@gmail.com,2026-08-01 01:35:59,PROD-3652,Electronics,10.0,68.29,UPI,Failed
TXN-10148,ORD-50148,CUST-180,user_792@yahoo.com,2026-07-30 21:27:58,PROD-6676,Books,1.0,343.85,UPI,Failed
TXN-10149,ORD-50149,CUST-100,user_623@company.org,2026-07-28 03:08:57,PROD-4709,Home & Kitchen,6.0,126.47,Credit Card,Completed
TXN-10150,ORD-50150,CUST-117,user_643@company.org,2026-07-25 23:06:40,PROD-8710,Books,9.0,348.15,PayPal,Pending
TXN-10151,ORD-50151,CUST-415,user_953@gmail.com,2027-02-21 16:25:04,PROD-9375,Beauty,4.0,223.76,Debit Card,Pending
TXN-10152,ORD-50152,CUST-178,user_935@company.org,2026-08-01 00:55:57,PROD-9410,Home & Kitchen,10.0,73.42,Credit Card,Failed
TXN-10153,ORD-50153,CUST-579,user_817@gmail.com,2026-07-29 19:39:36,PROD-7261,Apparel,9.0,339.22,PayPal,Failed
TXN-10154,ORD-50154,CUST-874,user_982@company.org,2026-07-25 11:33:49,PROD-5474,Home & Kitchen,2.0,108.73,UPI,Completed
TXN-10155,ORD-50155,CUST-612,user_563@outlook.com,2026-07-26 23:00:16,PROD-6284,Beauty,9.0,223.58,Credit Card,Failed
TXN-10156,ORD-50156,CUST-978,user_803@company.org,2026-07-29 12:50:42,PROD-1271,Apparel,10.0,424.96,Credit Card,Completed
TXN-10157,ORD-50157,CUST-544,user_108@yahoo.com,2026-08-01 07:55:51,PROD-1697,Sports,5.0,394.69,UPI,Failed
TXN-10158,ORD-50158,CUST-834,user_705gmail.com,2026-07-27 10:27:31,PROD-7977,Sports,8.0,149.94,UPI,Completed
TXN-10159,ORD-50159,CUST-705,user_899@yahoo.com,2026-07-31 02:13:32,PROD-1124,Apparel,10.0,402.05,PayPal,Failed
TXN-10160,ORD-50160,CUST-128,user_265@yahoo.com,2026-07-28 01:25:25,PROD-3285,Home & Kitchen,4.0,457.23,UPI,Failed
TXN-10161,ORD-50161,CUST-396,user_634@gmail.com,2026-07-28 17:48:36,PROD-3449,Apparel,8.0,30.47,PayPal,Pending
TXN-10162,ORD-50162,CUST-388,user_991@yahoo.com,2026-07-29 12:56:10,PROD-2589,Apparel,9.0,410.88,Credit Card,Failed
TXN-10163,ORD-50163,CUST-688,user_775@gmail.com,2026-07-28 03:15:00,PROD-4317,Beauty,10.0,336.39,UPI,Failed
TXN-10164,ORD-50164,CUST-136,user_990@gmail.com,2026-07-26 23:37:05,PROD-2358,Sports,3.0,69.88,PayPal,Failed
TXN-10165,ORD-50165,CUST-813,user_674@gmail.com,2026-07-29 16:23:35,PROD-6882,Books,8.0,150.05,UPI,Completed
TXN-10166,ORD-50166,CUST-471,user_293@company.org,2026-07-31 15:27:48,PROD-3683,Apparel,4.0,-149.22,PayPal,Failed
TXN-10167,ORD-50167,CUST-125,user_368@yahoo.com,2026-07-26 02:40:50,PROD-9176,Electronics,6.0,0.0,Debit Card,Pending
TXN-10168,ORD-50168,CUST-189,user_167gmail.com,2026-07-27 19:24:13,PROD-4980,Books,5.0,270.21,Debit Card,Pending
TXN-10169,ORD-50169,CUST-356,user_281@yahoo.com,2026-07-27 04:25:31,PROD-8849,Sports,1.0,5.69,PayPal,Completed
TXN-10170,ORD-50170,CUST-341,user_811@yahoo.com,2026-07-27 12:27:35,PROD-8495,Home & Kitchen,10.0,50.01,Debit Card,Failed
TXN-10171,ORD-50171,CUST-779,user_194@outlook.com,2026-07-30 00:21:13,PROD-8956,Beauty,4.0,155.76,UPI,Pending
TXN-10172,ORD-50172,CUST-388,user_779@yahoo.com,2026-07-25 18:11:54,PROD-5861,Home & Kitchen,8.0,,Debit Card,Failed
TXN-10173,ORD-50173,CUST-141,user_820@gmail.com,2026-08-01 05:59:36,PROD-7186,Books,10.0,372.88,Credit Card,Pending
TXN-10174,ORD-50174,CUST-957,user_214@gmail,2026-07-28 03:31:41,PROD-4510,Beauty,10.0,203.92,Credit Card,Pending
TXN-10175,ORD-50175,CUST-357,user_901@company.org,2026-07-31 03:51:18,PROD-2610,Electronics,7.0,185.92,Credit Card,Failed
TXN-10176,ORD-50176,CUST-248,user_176@yahoo.com,2026-07-30 23:18:03,PROD-5334,Electronics,2.0,29.86,Debit Card,Failed
TXN-10177,ORD-50177,CUST-158,user_296@outlook.com,2026-08-01 00:37:04,PROD-8548,Sports,1.0,227.36,Credit Card,Failed
TXN-10178,ORD-50178,CUST-212,user_225@yahoo.com,2026-07-31 09:57:49,PROD-2831,Books,1.0,48.83,PayPal,Pending
TXN-10179,ORD-50179,CUST-481,user_591@outlook.com,2026-07-30 09:15:47,PROD-1830,Sports,8.0,408.27,Debit Card,Completed
TXN-10180,ORD-50180,CUST-709,user_109@yahoo.com,2026-07-27 13:11:03,PROD-7761,Electronics,2.0,-39.01,PayPal,Pending
TXN-10181,ORD-50181,CUST-666,user_220@gmail.com,2026-07-29 17:20:58,PROD-6337,Beauty,4.0,75.75,UPI,Failed
TXN-10182,ORD-50182,CUST-112,user_205@company.org,2026-08-01 02:49:33,PROD-4063,Beauty,6.0,484.81,Debit Card,Completed
TXN-10183,ORD-50183,CUST-680,user_488@gmail.com,2026-07-31 21:40:54,PROD-4022,Sports,8.0,7.66,UPI,Pending
TXN-10184,ORD-50184,,user_544@gmail.com,2026-07-30 10:00:49,PROD-9013,Beauty,10.0,401.36,Credit Card,Failed
TXN-10185,ORD-50185,CUST-319,user_665@yahoo.com,2026-07-28 06:20:09,PROD-2678,Electronics,5.0,77.91,PayPal,Failed
TXN-10186,ORD-50186,CUST-117,user_460@outlook.com,2026-07-25 12:23:26,PROD-5619,Home & Kitchen,3.0,188.14,Debit Card,Pending
TXN-10187,ORD-50187,CUST-704,user_691@outlook.com,2026-07-30 07:29:24,PROD-5980,Sports,,193.85,PayPal,Pending
TXN-10188,ORD-50188,CUST-292,user_611@gmail.com,2026-07-28 12:17:23,PROD-7855,Electronics,2.0,408.03,UPI,Pending
TXN-10189,ORD-50189,CUST-673,user_966@gmail.com,2026-07-28 12:16:09,PROD-2532,Electronics,8.0,148.16,UPI,Completed
TXN-10190,ORD-50190,CUST-991,user_235@gmail.com,2026-07-30 23:37:56,PROD-1085,Beauty,4.0,254.94,PayPal,Failed
TXN-10191,ORD-50191,CUST-757,user_935@company.org,2026-07-25 16:14:56,PROD-2852,Beauty,10.0,80.78,UPI,Completed
TXN-10192,ORD-50192,CUST-834,user_405@outlook.com,2026-07-29 11:19:36,PROD-5805,Books,,186.02,Credit Card,Pending
TXN-10193,ORD-50193,CUST-693,user_883@gmail.com,2027-04-04 16:25:04,PROD-4525,Apparel,5.0,86.78,UPI,Completed
