transaction_id,order_id,customer_id,customer_email,transaction_timestamp,product_id,category,quantity,unit_price,payment_method,status,run_id,rejection_reasons
TXN-10124,ORD-50124,CUST-273,user_452gmail.com,2026-07-28 21:28:21,PROD-8540,Books,6.0,286.63,PayPal,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_452gmail.com)
TXN-10126,ORD-50126,CUST-985,user_788@gmail.com,2026-07-26 19:24:14,PROD-9224,Home & Kitchen,1.0,0.0,UPI,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10129,ORD-50129,CUST-909,user_756@gmail.com,2027-05-01 16:25:04,PROD-2232,Books,7.0,180.33,UPI,Pending,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2027-05-01 16:25:04)
TXN-10138,ORD-50138,CUST-119,user_117@gmail.com,2026-07-30 05:16:53,PROD-9391,Home & Kitchen,0.0,123.73,UPI,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10143,ORD-50143,CUST-562,user_246@outlook.com,2026-07-27 09:18:17,PROD-4186,Home & Kitchen,,366.79,UPI,Failed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10147,ORD-50137,CUST-627,user_897@gmail.com,2026-08-01 01:35:59,PROD-3652,Electronics,10.0,68.29,UPI,Failed,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50137)
TXN-10151,ORD-50151,CUST-415,user_953@gmail.com,2027-02-21 16:25:04,PROD-9375,Beauty,4.0,223.76,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2027-02-21 16:25:04)
TXN-10158,ORD-50158,CUST-834,user_705gmail.com,2026-07-27 10:27:31,PROD-7977,Sports,8.0,149.94,UPI,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_705gmail.com)
TXN-10166,ORD-50166,CUST-471,user_293@company.org,2026-07-31 15:27:48,PROD-3683,Apparel,4.0,-149.22,PayPal,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (-149.22) must be > 0
TXN-10167,ORD-50167,CUST-125,user_368@yahoo.com,2026-07-26 02:40:50,PROD-9176,Electronics,6.0,0.0,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10168,ORD-50168,CUST-189,user_167gmail.com,2026-07-27 19:24:13,PROD-4980,Books,5.0,270.21,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_167gmail.com)
TXN-10172,ORD-50172,CUST-388,user_779@yahoo.com,2026-07-25 18:11:54,PROD-5861,Home & Kitchen,8.0,,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10174,ORD-50174,CUST-957,user_214@gmail,2026-07-28 03:31:41,PROD-4510,Beauty,10.0,203.92,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_214@gmail)
TXN-10180,ORD-50180,CUST-709,user_109@yahoo.com,2026-07-27 13:11:03,PROD-7761,Electronics,2.0,-39.01,PayPal,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (-39.01) must be > 0
TXN-10184,ORD-50184,,user_544@gmail.com,2026-07-30 10:00:49,PROD-9013,Beauty,10.0,401.36,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10187,ORD-50187,CUST-704,user_691@outlook.com,2026-07-30 07:29:24,PROD-5980,Sports,,193.85,PayPal,Pending,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10192,ORD-50192,CUST-834,user_405@outlook.com,2026-07-29 11:19:36,PROD-5805,Books,,186.02,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10193,ORD-50193,CUST-693,user_883@gmail.com,2027-04-04 16:25:04,PROD-4525,Apparel,5.0,86.78,UPI,Completed,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2027-04-04 16:25:04)
TXN-10194,ORD-50194,CUST-319,user_296@gmail.com,2026-07-26 20:21:51,PROD-8263,Books,2.0,,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10198,ORD-50198,CUST-415,user_588@gmail.com,2026-07-30 02:46:02,PROD-8296,Books,-1.0,393.22,UPI,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (-1.0) must be > 0
TXN-10209,ORD-50209,CUST-760,user_693@yahoo.com,2026-07-27 02:06:53,PROD-4445,Books,,139.52,PayPal,Failed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10211,ORD-50211,CUST-707,user_401@company.org,2026-07-29 22:17:16,PROD-6605,Home & Kitchen,5.0,0.0,PayPal,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10216,ORD-50216,CUST-936,user_833@yahoo.com,2026-07-28 10:31:12,PROD-3808,Apparel,-1.0,87.21,PayPal,Completed,RUN-20260809-162605,DQ_RULE_04: quantity (-1.0) must be > 0
TXN-10218,ORD-50218,CUST-252,user_608gmail.com,2026-07-28 21:40:52,PROD-7964,Books,6.0,449.24,UPI,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_608gmail.com)
TXN-10219,ORD-50219,CUST-410,user_982@gmail.com,2026-07-26 15:52:21,PROD-7235,Home & Kitchen,6.0,0.0,PayPal,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10222,ORD-50222,CUST-895,user_307@outlook.com,2027-02-12 16:25:04,PROD-5791,Electronics,7.0,221.75,UPI,Failed,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2027-02-12 16:25:04)
TXN-10227,ORD-50227,CUST-862,user_577@outlook.com,2026-07-30 10:21:58,PROD-6929,Beauty,8.0,,UPI,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10236,ORD-50236,CUST-147,user_772@gmail,2026-07-28 23:37:32,PROD-5258,Apparel,6.0,497.79,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_772@gmail)
TXN-10239,ORD-50239,CUST-749,user_533@yahoo.com,2026-07-30 02:02:20,PROD-2700,Sports,,229.53,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10240,ORD-50240,CUST-125,user_509@company.org,2026-07-28 01:53:31,PROD-2598,Beauty,5.0,,UPI,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10241,ORD-50241,CUST-773,user_423@company.org,2026-12-25 16:25:04,PROD-7867,Sports,7.0,142.44,Debit Card,Completed,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2026-12-25 16:25:04)
TXN-10244,ORD-50244,,user_727@company.org,2026-07-27 00:26:06,PROD-3821,Sports,10.0,171.52,UPI,Completed,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10254,ORD-50254,,user_818@gmail.com,2026-07-28 11:27:56,PROD-4361,Sports,6.0,405.17,PayPal,Completed,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10260,ORD-50260,CUST-515,user_886@yahoo.com,2026-07-31 06:30:03,PROD-3870,Home & Kitchen,3.0,,PayPal,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10261,ORD-50261,CUST-771,user_340@company.org,2026-07-29 19:33:17,PROD-5063,Apparel,-3.0,279.65,PayPal,Failed,RUN-20260809-162605,DQ_RULE_04: quantity (-3.0) must be > 0
TXN-10263,ORD-50263,CUST-989,user_550@yahoo.com,2026-08-01 09:05:46,PROD-2453,Home & Kitchen,10.0,0.0,PayPal,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10267,ORD-50267,,user_137@outlook.com,2026-07-31 14:34:44,PROD-8918,Home & Kitchen,10.0,170.6,UPI,Pending,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10276,ORD-50276,CUST-823,user_507@gmail,2026-08-01 04:45:28,PROD-6021,Home & Kitchen,5.0,148.79,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_507@gmail)
TXN-10278,ORD-50278,CUST-881,user_791@gmail.com,2026-07-29 01:06:33,PROD-6335,Apparel,9.0,,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10282,ORD-50282,CUST-835,user_867@company.org,2026-07-29 23:11:01,PROD-9304,Apparel,2.0,-92.69,Debit Card,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (-92.69) must be > 0
TXN-10283,ORD-50283,,user_400@outlook.com,2026-07-27 12:11:36,PROD-7374,Beauty,1.0,335.42,UPI,Pending,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10304,ORD-50304,CUST-140,user_349@yahoo.com,2026-07-31 17:09:09,PROD-9312,Books,0.0,70.07,Debit Card,Completed,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10307,ORD-50307,CUST-753,user_280@yahoo.com,2026-07-25 21:58:47,PROD-3770,Sports,,358.25,UPI,Completed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10316,ORD-50316,CUST-108,user_645@yahoo.com,2026-07-26 22:59:02,PROD-7663,Home & Kitchen,,418.79,UPI,Failed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10317,ORD-50317,CUST-927,user_740gmail.com,2026-07-30 15:01:00,PROD-5360,Apparel,6.0,52.24,PayPal,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_740gmail.com)
TXN-10325,ORD-50325,CUST-320,user_848@outlook.com,2026-07-25 22:40:17,PROD-6453,Beauty,0.0,228.76,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10326,ORD-50326,CUST-216,user_602@gmail,2026-07-27 09:20:00,PROD-9556,Sports,5.0,199.87,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_602@gmail)
TXN-10328,ORD-50328,CUST-258,user_284gmail.com,2026-07-28 23:26:29,PROD-9988,Home & Kitchen,7.0,496.4,Credit Card,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_284gmail.com)
TXN-10349,ORD-50349,CUST-974,user_852@company.org,2026-07-30 16:27:28,PROD-8654,Books,6.0,0.0,PayPal,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10350,ORD-50350,CUST-570,user_662gmail.com,2026-07-30 04:44:26,PROD-1065,Sports,6.0,92.58,Credit Card,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_662gmail.com)
TXN-10351,ORD-50351,CUST-336,user_136@gmail.com,2026-07-29 14:07:27,PROD-6494,Sports,2.0,0.0,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10353,ORD-50353,CUST-539,user_501@gmail.com,2026-07-27 00:09:23,PROD-4584,Electronics,0.0,289.42,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10362,ORD-50362,,user_474@gmail.com,2026-07-31 02:19:20,PROD-6158,Home & Kitchen,10.0,212.33,PayPal,Failed,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10363,ORD-50363,CUST-408,user_955@yahoo.com,2026-07-30 04:47:09,PROD-8494,Home & Kitchen,,41.14,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10369,ORD-50369,CUST-445,user_897@gmail.com,2026-07-25 17:56:34,PROD-4738,Sports,-4.0,380.5,PayPal,Completed,RUN-20260809-162605,DQ_RULE_04: quantity (-4.0) must be > 0
TXN-10373,ORD-50373,CUST-264,user_880@outlook.com,2026-07-30 18:52:31,PROD-7147,Apparel,3.0,0.0,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10375,ORD-50375,CUST-846,user_360gmail.com,2026-08-01 01:03:21,PROD-7834,Electronics,5.0,223.65,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_360gmail.com)
TXN-10381,ORD-50381,CUST-752,user_335gmail.com,2026-07-29 17:37:25,PROD-4206,Home & Kitchen,9.0,450.68,UPI,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_335gmail.com)
TXN-10386,ORD-50386,CUST-713,user_867@gmail.com,2027-01-16 16:25:04,PROD-1631,Books,7.0,389.1,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2027-01-16 16:25:04)
TXN-10389,ORD-50300,CUST-970,user_406@outlook.com,2026-07-27 16:36:01,PROD-7493,Beauty,6.0,20.76,PayPal,Failed,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50300)
TXN-10391,ORD-50391,CUST-837,user_665@gmail.com,2027-01-02 16:25:04,PROD-9437,Books,5.0,310.79,UPI,Failed,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2027-01-02 16:25:04)
TXN-10406,ORD-50406,CUST-437,user_631@gmail.com,2026-12-26 16:25:04,PROD-1548,Apparel,7.0,337.78,PayPal,Completed,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2026-12-26 16:25:04)
TXN-10410,ORD-50410,CUST-658,user_877@outlook.com,2026-07-27 05:42:24,PROD-6322,Beauty,,138.57,PayPal,Completed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10411,ORD-50411,CUST-893,user_679@outlook.com,2026-07-31 17:41:24,PROD-2074,Books,5.0,0.0,PayPal,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10412,ORD-50352,CUST-261,user_542@yahoo.com,2026-07-29 10:20:16,PROD-2230,Beauty,9.0,74.31,PayPal,Failed,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50352)
TXN-10416,ORD-50416,CUST-711,user_335@outlook.com,2026-07-27 08:16:05,PROD-5845,Electronics,0.0,143.26,PayPal,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10431,ORD-50431,CUST-288,user_236@gmail.com,2026-07-27 03:56:27,PROD-2069,Beauty,9.0,0.0,PayPal,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10433,ORD-50433,CUST-790,user_739@yahoo.com,2026-07-26 04:34:04,PROD-2330,Home & Kitchen,6.0,-36.87,UPI,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (-36.87) must be > 0
TXN-10443,ORD-50443,CUST-874,user_792@gmail,2026-07-26 10:46:38,PROD-5465,Books,8.0,145.83,UPI,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_792@gmail)
TXN-10448,ORD-50448,CUST-313,user_628gmail.com,2026-07-27 21:19:39,PROD-2128,Sports,5.0,81.17,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_628gmail.com)
TXN-10458,ORD-50458,CUST-237,user_693@yahoo.com,2026-08-01 08:43:53,PROD-5493,Books,3.0,,PayPal,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10463,ORD-50463,CUST-313,user_631@company.org,2026-07-30 04:09:15,PROD-2391,Books,10.0,,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10464,ORD-50464,CUST-297,user_561@outlook.com,2026-07-28 02:05:31,PROD-3926,Sports,,43.89,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10468,ORD-50468,CUST-558,user_852@gmail.com,2026-07-30 16:02:48,PROD-2697,Sports,-4.0,159.36,UPI,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (-4.0) must be > 0
TXN-10472,ORD-50472,CUST-210,user_455@yahoo.com,2026-07-28 16:13:51,PROD-1131,Books,1.0,0.0,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10474,ORD-50474,CUST-847,user_863@company.org,2026-07-26 23:04:44,PROD-3615,Home & Kitchen,0.0,33.58,PayPal,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10478,ORD-50478,CUST-725,user_746gmail.com,2026-07-30 23:31:35,PROD-4742,Books,8.0,72.84,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_746gmail.com)
TXN-10481,ORD-50481,CUST-599,user_367@yahoo.com,2026-07-29 22:55:13,PROD-7933,Electronics,5.0,-38.91,PayPal,Pending,RUN-20260809-162605,DQ_RULE_03: unit_price (-38.91) must be > 0
TXN-10491,ORD-50491,CUST-791,user_907@company.org,2027-01-19 16:25:04,PROD-8219,Beauty,9.0,46.87,UPI,Pending,RUN-20260809-162605,DQ_RULE_05: Future timestamp detected (2027-01-19 16:25:04)
TXN-10502,ORD-50502,CUST-971,user_107@company.org,2026-07-29 20:47:26,PROD-4121,Sports,9.0,,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10503,ORD-50471,CUST-502,user_725@gmail.com,2026-07-26 11:32:40,PROD-3408,Books,5.0,194.13,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50471)
TXN-10506,ORD-50506,CUST-740,user_678@company.org,2026-07-28 04:31:43,PROD-3047,Electronics,-4.0,123.53,Credit Card,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (-4.0) must be > 0
TXN-10508,ORD-50508,CUST-934,user_946@yahoo.com,2026-07-31 20:46:41,PROD-3786,Books,,489.26,Credit Card,Failed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10509,ORD-50509,CUST-606,user_241@outlook.com,2026-07-30 20:03:02,PROD-2797,Home & Kitchen,,234.07,UPI,Completed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10510,ORD-50510,CUST-718,user_361@gmail.com,2026-07-31 08:59:59,PROD-6900,Home & Kitchen,,299.58,Debit Card,Failed,RUN-20260809-162605,DQ_RULE_04: quantity is NULL/NaN
TXN-10513,ORD-50513,CUST-615,user_754@yahoo.com,2026-07-26 19:18:45,PROD-1473,Apparel,1.0,0.0,UPI,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10516,ORD-50516,CUST-341,user_227@company.org,2026-07-28 16:31:54,PROD-3454,Beauty,0.0,186.82,UPI,Pending,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10519,ORD-50519,CUST-302,user_956@outlook.com,2026-07-28 03:38:40,PROD-1175,Home & Kitchen,8.0,,Credit Card,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price is NULL/NaN
TXN-10522,ORD-50522,CUST-598,user_418@gmail,2026-07-25 15:46:05,PROD-1655,Electronics,2.0,435.94,UPI,Failed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_418@gmail)
TXN-10526,ORD-50526,CUST-994,user_100@gmail,2026-07-27 03:36:03,PROD-9855,Sports,3.0,100.53,Debit Card,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_100@gmail)
TXN-10527,ORD-50527,CUST-423,user_290@yahoo.com,2026-07-30 21:33:19,PROD-9346,Sports,0.0,239.02,UPI,Completed,RUN-20260809-162605,DQ_RULE_04: quantity (0.0) must be > 0
TXN-10529,ORD-50529,CUST-998,user_260gmail.com,2026-07-28 23:52:16,PROD-8206,Apparel,4.0,482.26,PayPal,Pending,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_260gmail.com)
TXN-10535,ORD-50438,CUST-603,user_622@gmail.com,2026-07-26 22:11:06,PROD-5757,Books,10.0,38.23,UPI,Failed,RUN-20260809-162605,DQ_RULE_06: Duplicate order_id detected (ORD-50438)
TXN-10538,ORD-50538,,user_106@company.org,2026-07-30 13:35:51,PROD-3238,Books,2.0,253.32,Debit Card,Pending,RUN-20260809-162605,DQ_RULE_01: customer_id is NULL or blank
TXN-10540,ORD-50540,CUST-394,user_252@yahoo.com,2026-07-31 02:18:07,PROD-2233,Beauty,2.0,0.0,PayPal,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (0.0) must be > 0
TXN-10548,ORD-50548,CUST-456,user_214@yahoo.com,2026-08-01 07:33:50,PROD-8800,Beauty,9.0,-46.01,UPI,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (-46.01) must be > 0
TXN-10549,ORD-50549,CUST-330,user_980@gmail.com,2026-07-29 11:32:34,PROD-1465,Sports,9.0,-143.47,PayPal,Completed,RUN-20260809-162605,DQ_RULE_03: unit_price (-143.47) must be > 0
TXN-10552,ORD-50552,CUST-189,user_666@gmail,2026-07-30 17:24:55,PROD-8556,Sports,10.0,285.09,Credit Card,Completed,RUN-20260809-162605,DQ_RULE_02: Invalid customer_email format (user_666@gmail)
